logical_identifier,title,name,description,alias_id,alias_title
urn:nasa:pds:context:telescope:pic_du_midi.bernardlyot_2m0,Bernard Lyot 2.0m,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:saao.radcliffe_1m88,Radcliffe 1.88m telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:siding_spring.aat_3m9,3.9m Anglo-Australian Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:siding_spring.anu_2m3,Australian National University 2.3m Telescope,,"             The 2.3-m Advanced Technology Telescope (ATT) is a 2.3 m telescope located at -31.273333, 149.061676 at the Siding Spring Observatory.                          Operational 1984+         ",,
urn:nasa:pds:context:telescope:siding_spring.uppsala0m5,Catalina Sky Survey 0.5-m Uppsala Schmidt telescope,,"Catalina Sky Survey 0.5-m Uppsala Schmidt survey telescope in Siding Spring, Australia. (MPC code E12)",,
urn:nasa:pds:context:telescope:simeis.grubb1m,1-m Grubb reflector,,"         The 1-m Grubb reflector is a 1 m telescope located at 44.535500, 34.015862 at the Crimean Astrophysical Observatory-Simeis.                  Operational 05/1926-c.1943         ",,
urn:nasa:pds:context:telescope:smt.heinrich_hertz10m,10-m Heinrich Hertz Submillimeter Telescope (SMT),,"         The 10-m Heinrich Hertz Submillimeter Telescope (SMT) is a 10 m telescope located at 32.701611, 250.108780 at the Submillimeter Telescope Observatory.                  Operational 1993+         ",,
urn:nasa:pds:context:telescope:star_castle.black_springs0m8,Black Springs 0.8m,,"         The Black Springs 0.8m is a 0.8 m telescope located at -33.899000, 138.888000 at the Star Castle Observatory.                  30"" Newtonian Reflector         ",,
urn:nasa:pds:context:telescope:steward-kittpeak.bok2m3,2.29-m Bok Boller & Chivens Ritchey-Chretien refl.,,Operational 09/1969+,,
urn:nasa:pds:context:telescope:steward-kittpeak.spacewatch_0m9,Spacewatch 0.9-m,,Steward Observatory 0.9 meter on Kitt Peak  **This aperture is only from the year 2002 onward.  The optics were reconfigured at that time. clear aperture**  Coordinate source measured summer 2018 with handheld GPS,,
urn:nasa:pds:context:telescope:steward-kittpeak.spacewatch_1m8,Spacewatch 1.8m,,"Spacewatch 1.8m telescope  The mechanical design of the tube truss by Barr is optimized by finite-element analysis to provide high resonant frequencies.  The mount is an altitude-azimuth type for compatibility with the mirror support cell contributed by the Multi-Mirror Telescope Observatory.  Both axes are driven by DC servo motors directly coupled to friction rollers.  The CCD instrument stage is also rotated under computer control.  The telescope was fabricated in the University Research Instrumentation Center (URIC).  The optical configuration is f/2.7 folded prime focus with a flat secondary that locates the focal plane in the center of the optical truss near the altitude axis.  This shortened the telescope enough to make the dome building affordable, and the flat secondary preserves the fast f/number of the primary mirror.  The coma corrector designed by R. A. Buchroeder is a modified Klee design of 5 spherical lens elements plus a filter transmitting longward of the B bandpass.  The filter greatly simplifies lens design and reduces sky background while not significantly reducing the peak-pixel brightness of asteroids.  The distortion-free, flat, unvignetted field of view is 0.8 deg in diameter and the effective corrected focal length is 4955 mm.  First light was on May 3, 2000.",,
urn:nasa:pds:context:telescope:stockport.jubilee,Jubilee Telescope,,"         The Jubilee Telescope is a 0.5 m telescope located at -34.322000, 138.729000 at the Stockport Observatory.                  A 20-inch (0.5 metre) Newtonian-Cassegrain reflecting telescope.         ",,
urn:nasa:pds:context:telescope:table_mountain.astro_mechanics0m61,61-cm Astro Mechanics Cassegrain/Coude reflector,,"         The 61-cm Astro Mechanics Cassegrain/Coude reflector is a 61 cm telescope located at 34.381527, 242.318741 at the Table Mountain Observatory.                  Operational 1965+         ",,
urn:nasa:pds:context:telescope:teide.carlossanchez_1m55,Carlos Sanchez 1.55 Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:u_alabama.fecker0m25,25-cm Fecker refractor,,"         The 25-cm Fecker refractor is a 25 cm telescope located at 33.209167, 272.457611 at the University of Alabama Observatory.                  Operational 1950-2004.         ",,
urn:nasa:pds:context:telescope:usuda.dss48_64m,Usuda 64-m Radio Telescope (as a DSN Antenna),,            This fully steerable telescope is a beam waveguide radio antenna that is occasionally used as            part of the NASA Deep Space Network. It operates at X-band and S-band and was first used in 1984.         ,,
urn:nasa:pds:context:telescope:uwo_meteor_radar.cmor,Canadian Meteor Orbit Radar,,"         The Canadian Meteor Orbit Radar is a 8.06 km telescope located at 43.264000, 279.228000 at the UWO Meteor Radar Complex.                  The University of Western Ontario (UWO) Meteor Radar Complex is host to the Canadian Meteor Orbit Radar and has been in operation since late 2001.         ",,
